,id,title,popularity,overview,tagline,keywords,cast,genres,combined
0,949,Heat,17.924927,mentally unstable detective vincent hanna pursues obsessive,los angeles crime,one shooting cat job fight and criminal film detective mouse murder loner gang mastermind last heist crime money bank gun honor neonoir betrayal excon obsession suspense movie thief epic robbery chase cult,alpacino robertdeniro valkilmer jonvoight tomsizemore dianevenora amybrenneman ashleyjudd mykeltiwilliamson natalieportman tedlevine tomnoonan toneloc hankazaria wesstudi dennishaysbert dannytrejo henryrollins williamfichtner kevingage susantraylor jerrytrimble rickyharris jeremypiven xanderberkeley begonyaplaza rickavery hazellegoodman raybuktenica maxdaniels vincedeadrickjr stevenford farrahforke patriciahealy paulherman cindykatz brianlibby danmartin marioroberts thomasrosalesjr yvonnezima mickgould budcort vivianevives kimstaunton martinferrero bradbaldridge andrewcamuccio kennyendoso kimberlyflynn nikiharris billmcintosh rickmarzan terrymiller danielohaco kaisoremekun peterblackwell trevorcoppola marykircher darinmangan robertmiranda mannyperry ivafrankssinger timwerner philipettington,action crime drama thriller,mentally unstable detective vincent hanna pursues obsessive los angeles crime one shooting cat job fight and criminal film detective mouse murder loner gang mastermind last heist crime money bank gun honor neonoir betrayal excon obsession suspense movie thief epic robbery chase cult alpacino robertdeniro valkilmer jonvoight tomsizemore dianevenora amybrenneman ashleyjudd mykeltiwilliamson natalieportman tedlevine tomnoonan toneloc hankazaria wesstudi dennishaysbert dannytrejo henryrollins williamfichtner kevingage susantraylor jerrytrimble rickyharris jeremypiven xanderberkeley begonyaplaza rickavery hazellegoodman raybuktenica maxdaniels vincedeadrickjr stevenford farrahforke patriciahealy paulherman cindykatz brianlibby danmartin marioroberts thomasrosalesjr yvonnezima mickgould budcort vivianevives kimstaunton martinferrero bradbaldridge andrewcamuccio kennyendoso kimberlyflynn nikiharris billmcintosh rickmarzan terrymiller danielohaco kaisoremekun peterblackwell trevorcoppola marykircher darinmangan robertmiranda mannyperry ivafrankssinger timwerner philipettington action crime drama thriller
1,710,GoldenEye,14.686035999999998,james bond must unmask inflict devastating revenge,fears substitutes limits,service satellite special electromagnetic red cossack base pulse seat car accused russia bomb identity virus secret army kgb intelligence cuba st time computer falsely ejection petersburg,piercebrosnan seanbean izabellascorupco famkejanssen joedonbaker judidench gottfriedjohn robbiecoltrane alancumming tchékykaryo desmondllewelyn samanthabond michaelkitchen serenagordon simonkunz billyjmitchell constantinegregory minniedriver michellearthur ravilisyanov,adventure action thriller,james bond must unmask inflict devastating revenge fears substitutes limits service satellite special electromagnetic red cossack base pulse seat car accused russia bomb identity virus secret army kgb intelligence cuba st time computer falsely ejection petersburg piercebrosnan seanbean izabellascorupco famkejanssen joedonbaker judidench gottfriedjohn robbiecoltrane alancumming tchékykaryo desmondllewelyn samanthabond michaelkitchen serenagordon simonkunz billyjmitchell constantinegregory minniedriver michellearthur ravilisyanov adventure action thriller
2,1408,Cutthroat Island,7.284477000000001,treasure map unfortunately slave william shaw murderous,turning back prepare,pirate ship scalp island map exotic treasure,geenadavis matthewmodine franklangella maurychaykin patrickmalahide stanshaw rexlinn pauldillon christophermasterson jimmiefskaggs harrisyulin carlchase petergeeves anguswright kenbones marypeach thomaslockyer rogerbooth georgemurcell simonatherton dickeybeer christopherhalliday chrisjohnston richardleaf tamwhite rupertvansittart nickbartlett davidbailie kwamekweiarmah ramontikaram christopheradamson,action adventure,treasure map unfortunately slave william shaw murderous turning back prepare pirate ship scalp island map exotic treasure geenadavis matthewmodine franklangella maurychaykin patrickmalahide stanshaw rexlinn pauldillon christophermasterson jimmiefskaggs harrisyulin carlchase petergeeves anguswright kenbones marypeach thomaslockyer rogerbooth georgemurcell simonatherton dickeybeer christopherhalliday chrisjohnston richardleaf tamwhite rupertvansittart nickbartlett davidbailie kwamekweiarmah ramontikaram christopheradamson action adventure
3,524,Casino,10.137389,– gambling paradise las vegas dark mafia,one stays top,poker illegal abuse 1970s drug prostitution overdose,robertdeniro sharonstone joepesci jameswoods donrickles alanking kevinpollak pasqualecajano lqjones dicksmothers frankvincent oscargoodman richardriehle catherinescorsese vinnyvella nobumatsuhisa erikavontagen nickmazzola davidrose johnbloom josephrigano philipsuriano melissaprophet billallison joeladue josephpreidy craigvincent carlciarfalio generuffini dominickgrieco clemcaserta danielpconte joeydepinto jackorend paulherman jedmills claudiaharo ffolliottlecoque johnmanca ronaldmaccone josephbono frankadonis anthonyrussell stuartnisbet alfrednittoli,drama crime,– gambling paradise las vegas dark mafia one stays top poker illegal abuse 1970s drug prostitution overdose robertdeniro sharonstone joepesci jameswoods donrickles alanking kevinpollak pasqualecajano lqjones dicksmothers frankvincent oscargoodman richardriehle catherinescorsese vinnyvella nobumatsuhisa erikavontagen nickmazzola davidrose johnbloom josephrigano philipsuriano melissaprophet billallison joeladue josephpreidy craigvincent carlciarfalio generuffini dominickgrieco clemcaserta danielpconte joeydepinto jackorend paulherman jedmills claudiaharo ffolliottlecoque johnmanca ronaldmaccone josephbono frankadonis anthonyrussell stuartnisbet alfrednittoli drama crime
4,4584,Sense and Sensibility,10.673167,daughters rich mr dashwood dies leaving inheritance,heart senses come,decorum jane period and horse life country based austen drama rainstorm inheritance bowling novel carriage officer military servant on,katewinslet emmathompson hughgrant tomwilkinson alanrickman imogenstubbs gregwise hughlaurie imeldastaunton roberthardy oliverforddavies jamesfleet harrietwalter gemmajones emiliefrançois elizabethspriggs richardlumsden,drama romance,daughters rich mr dashwood dies leaving inheritance heart senses come decorum jane period and horse life country based austen drama rainstorm inheritance bowling novel carriage officer military servant on katewinslet emmathompson hughgrant tomwilkinson alanrickman imogenstubbs gregwise hughlaurie imeldastaunton roberthardy oliverforddavies jamesfleet harrietwalter gemmajones emiliefrançois elizabethspriggs richardlumsden drama romance
5,5,Four Rooms,9.026586,bellhops first night one unbelievable happening evenings,twelve outrageous guests,new sperm eve room woman film hotel hoodlum witch years bet los angeles director episode,timroth antoniobanderas jenniferbeals madonna marisatomei brucewillis quentintarantino sammidavis amandadecadenet valeriagolino lilitaylor lawrencebender ioneskye aliciawitt davidproval lanamckissack tamlyntomita kathygriffin paulcalderon salmahayek patriciavonne dannyverduzco kimberlyblair marclawrence,crime comedy,bellhops first night one unbelievable happening evenings twelve outrageous guests new sperm eve room woman film hotel hoodlum witch years bet los angeles director episode timroth antoniobanderas jenniferbeals madonna marisatomei brucewillis quentintarantino sammidavis amandadecadenet valeriagolino lilitaylor lawrencebender ioneskye aliciawitt davidproval lanamckissack tamlyntomita kathygriffin paulcalderon salmahayek patriciavonne dannyverduzco kimberlyblair marclawrence crime comedy
6,8012,Get Shorty,12.669608,chili hollywood producer meets harrys leading lady,nothing like show,debt mobster travel producer gangster job con hollywood murder based violence business crime mafia money drug miami novel gambling on,johntravolta genehackman renerusso dannydevito dennisfarina delroylindo jamesgandolfini jongries reneeprops davidpaymer martinferrero miguelsandoval jacobvargas bobbyslayton lindahart jeffreyjstephen,comedy thriller crime,chili hollywood producer meets harrys leading lady nothing like show debt mobster travel producer gangster job con hollywood murder based violence business crime mafia money drug miami novel gambling on johntravolta genehackman renerusso dannydevito dennisfarina delroylindo jamesgandolfini jongries reneeprops davidpaymer martinferrero miguelsandoval jacobvargas bobbyslayton lindahart jeffreyjstephen comedy thriller crime
7,451,Leaving Las Vegas,10.332025,alcoholic hollywood screenwriter las vegas noninterference pact,love way,hotel producer suicide and first angeles sight alcohol film lovesickness abuse casino attempted dying hate room at los prostitute individual rage alcoholism screenwriter death unsociability love,nicolascage elisabethshue juliansands richardlewis stevenweber kimadams emilyprocter stuartreynolds valeriagolino grahambeckel mariskahargitay lauriemetcalf shawneesmith davidkriegel,drama romance,alcoholic hollywood screenwriter las vegas noninterference pact love way hotel producer suicide and first angeles sight alcohol film lovesickness abuse casino attempted dying hate room at los prostitute individual rage alcoholism screenwriter death unsociability love nicolascage elisabethshue juliansands richardlewis stevenweber kimadams emilyprocter stuartreynolds valeriagolino grahambeckel mariskahargitay lauriemetcalf shawneesmith davidkriegel drama romance
8,902,The City of Lost Children,9.822422999999999,surrealist society kidnaps children dreams hoping aging,happily ever dream,rescue clone aging dream island children friendship girl childhood eye dystopia,ronperlman dominiquepinon judithvittet danielemilfork jeanclaudedreyfus genevièvebrunet odilemallet mireillemossé sergemerlin rufus tickyholgado crishuerta jeanlouistrintignant josephlucien mapigalán briacbarthélémy pierrequentinfaesch alexispivot françoishadjilazaro dominiquebettenfeld lotfiyahyajedidi thierrygibault marccaro hamchauluong frankiepain enriquevillanueva dominiquechevalier lorellacravotta érichouzelot philippebeautier marcamyot jeanphilippelabadie raphaèlebouchard elisabethetienne rachelboulenger michelmotu nanegermon,fantasy sciencefiction adventure,surrealist society kidnaps children dreams hoping aging happily ever dream rescue clone aging dream island children friendship girl childhood eye dystopia ronperlman dominiquepinon judithvittet danielemilfork jeanclaudedreyfus genevièvebrunet odilemallet mireillemossé sergemerlin rufus tickyholgado crishuerta jeanlouistrintignant josephlucien mapigalán briacbarthélémy pierrequentinfaesch alexispivot françoishadjilazaro dominiquebettenfeld lotfiyahyajedidi thierrygibault marccaro hamchauluong frankiepain enriquevillanueva dominiquechevalier lorellacravotta érichouzelot philippebeautier marcamyot jeanphilippelabadie raphaèlebouchard elisabethetienne rachelboulenger michelmotu nanegermon fantasy sciencefiction adventure
9,63,Twelve Monkeys,12.297305,cole year 2035 convict james reluctantly volunteers,future history,philadelphia schizophrenia monkey virus syndrom syndrome travel time cassandra subterranean stockholm postapocalyptic lethal dystopia,brucewillis madeleinestowe bradpitt christopherplummer davidmorse jonseda frankgorshin josephmelito aaronmichaellacey christophermeloni joeyperillo lisagayhamilton mattross anniegolden michaelchance vernoncampbell hmichaelwalls bobadrian simonjones carolflorence billraymond ernestabuba irmastpaule rozwillyoung nelljohnson frederickstrother charlestechman rickwarner anthonychipbrienza brucekirkpatrick wilfredwilliams joiletharris druciemcdaniel johnblaisse louislippa stankang patdias felixpire karlwarren josephmckenna stephenbridgewater rayhuffman charleyscalies robertoneill paulmeshejian kevinthigpen harryotoole jannellis michaelryansegal korchenko chuckjeffreys barryprice johnpanzarella janetzappala lisatalerico tiffanybaldwin cjbyrnes tomdetrik joegerety reneespei bonnieloev raymondmamrak salmazzotta allelonruggiero thang,sciencefiction thriller mystery,cole year 2035 convict james reluctantly volunteers future history philadelphia schizophrenia monkey virus syndrom syndrome travel time cassandra subterranean stockholm postapocalyptic lethal dystopia brucewillis madeleinestowe bradpitt christopherplummer davidmorse jonseda frankgorshin josephmelito aaronmichaellacey christophermeloni joeyperillo lisagayhamilton mattross anniegolden michaelchance vernoncampbell hmichaelwalls bobadrian simonjones carolflorence billraymond ernestabuba irmastpaule rozwillyoung nelljohnson frederickstrother charlestechman rickwarner anthonychipbrienza brucekirkpatrick wilfredwilliams joiletharris druciemcdaniel johnblaisse louislippa stankang patdias felixpire karlwarren josephmckenna stephenbridgewater rayhuffman charleyscalies robertoneill paulmeshejian kevinthigpen harryotoole jannellis michaelryansegal korchenko chuckjeffreys barryprice johnpanzarella janetzappala lisatalerico tiffanybaldwin cjbyrnes tomdetrik joegerety reneespei bonnieloev raymondmamrak salmazzotta allelonruggiero thang sciencefiction thriller mystery
